City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,11.05,70,0,1.54,US,1682555038
1,utrik,11.2278,169.8474,26.71,81,42,9.06,MH,1682555136
2,port lincoln,-34.7333,135.8667,17.96,80,12,8.69,AU,1682555137
3,puerto natales,-51.7236,-72.4875,5.11,84,73,2.51,CL,1682555137
4,pacific grove,36.6177,-121.9166,24.8,79,0,2.24,US,1682555137
5,altai,46.3722,96.2583,-6.42,67,95,5.26,MN,1682555137
6,vilyuysk,63.7553,121.6247,0.02,89,95,3.99,RU,1682555138
7,tucuma,-0.1833,-50.05,24.91,89,52,2.05,BR,1682555138
8,alesund,62.4723,6.1549,5.97,79,40,6.69,NO,1682555138
9,kingston,17.997,-76.7936,27.53,82,20,6.69,JM,1682555138
10,brisas de zicatela,15.8369,-97.0419,29.29,65,40,4.12,MX,1682555138
11,jamestown,42.097,-79.2353,6.8,52,0,4.12,US,1682555139
12,ushuaia,-54.8,-68.3,4.81,87,0,5.14,AR,1682555139
13,labuan,5.2767,115.2417,28.2,78,20,1.54,MY,1682555139
14,tazovsky,67.4667,78.7,-16.08,100,98,1.42,RU,1682555140
15,watsa,3.0372,29.5355,17.54,99,82,0.94,CD,1682555140
16,edinburgh of the seven seas,-37.0676,-12.3116,16.19,73,93,11.8,SH,1682555140
17,guerrero negro,27.9769,-114.0611,17.25,69,1,8.3,MX,1682555140
18,blackmans bay,-43.0167,147.3167,17.07,74,96,4.12,AU,1682555140
19,volosovo,59.4333,29.4833,8.37,82,50,2.19,RU,1682555141
20,planeta rica,8.4147,-75.5883,26.85,74,98,5.69,CO,1682555141
21,adamstown,-25.066,-130.1015,24.29,66,8,3.99,PN,1682555141
22,udachny,66.4167,112.4,-3.08,92,98,4.07,RU,1682555057
23,smithers,54.7804,-127.1743,10.18,34,40,6.17,CA,1682555142
24,katsuura,35.1333,140.3,17.17,43,25,7.08,JP,1682555142
25,avarua,-21.2078,-159.775,28.03,69,71,3.09,CK,1682555142
26,hermanus,-34.4187,19.2345,16.23,73,20,1.88,ZA,1682555143
27,pechora,65.1472,57.2244,-5.31,95,50,2.28,RU,1682555143
28,whitehorse,60.7161,-135.0538,6.43,39,75,8.23,CA,1682555143
29,antsiranana,-12.2787,49.2917,24.46,88,100,4.14,MG,1682555143
